"Symbol","signal","last_update"
"SERV","Price moved down and 2std VOL increase",2026-05-13
"ZM","Price moved down and 2std VOL increase",2026-05-14
"F","Price moved up and 3std VOL increase",2026-05-13
"FSM","Price moved down and 3std VOL increase",2026-05-15
