"dates","SPY","combined_signal"
2026-05-13,742.309997558594,"BUY"
2026-05-14,748.169982910156,"HOLD"
2026-05-15,739.169982910156,"SELL_SHORT"
2026-05-18,738.650024414062,"BUY"
2026-05-19,733.72998046875,"SELL_SHORT"
2026-05-20,740.6,"BUY"
