"strategy_choice","buy","max_loss_dollars","roi","expiration","buy_target","run_start","runtime","signal_1","signal_2"
"shares","MRK",105.5,8.47867298578199,2026-06-18,"120/130",2026-05-20,55.28,1,1
"shares","FDX",445,5.74157303370786,2026-06-18,"410/440",2026-05-20,55.28,1,1
"shares","NEE",75.5,8.93377483443709,2026-06-18,"92.5/100",2026-05-20,55.28,1,1
"shares","LYG",42.5,1.35294117647059,2026-06-18,"5/6",2026-05-20,55.28,1,1
"shares","RIG",13,6.69230769230769,2026-06-18,"8/9",2026-05-20,55.28,1,1
"shares","VLY",45,1.22222222222222,2026-06-18,"13/14",2026-05-20,55.28,1,1
"shares","BTE",35,6.14285714285714,2026-06-18,"5/7.5",2026-05-20,55.28,1,1
"shares","RIG",13,6.69230769230769,2026-06-18,"8/9",2026-05-20,55.28,1,1
