"strategy_choice","trade","trade_v2","signal_1","signal_2","max_loss_dollars","roi","expiration","buy_target","run_start","runtime"
"shares","Buy DAL Sell RY","Flat",1,0,106.5,3.69483568075117,2026-06-18,"75/80",2026-05-17,655.8
"shares","Buy NEE Sell CAT","Flat",1,0,85.5,7.7719298245614,2026-06-18,"97.5/105",2026-05-17,655.8
